cluster,henvendelse_id,kanal,distance_to_centroid,text
0,H006146,telefon,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H009601,telefon,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H012356,telefon,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H017016,chat,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H019850,chat,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H004464,e-post,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H004510,telefon,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H005293,e-post,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H005548,e-post,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H019287,telefon,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H019404,chat,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H001704,e-post,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H004236,chat,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H018565,chat,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
0,H009853,chat,4.5809853e-07,Veldig fornøyd med den nye appen – mye enklere å få oversikt nå.
1,H002686,chat,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H004814,chat,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H008792,chat,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H012553,chat,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H014803,e-post,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H001132,e-post,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H016350,chat,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H016411,chat,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H010218,telefon,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H015242,chat,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H015371,e-post,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H001241,telefon,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H013085,telefon,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H004399,e-post,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
1,H019133,chat,6.2411556e-07,Appen krasjer når jeg skal godkjenne betaling. Har prøvd å reinstallere.
2,H017878,chat,0.08691706,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.42 % når nye kunder får bedre betingelser?
2,H017729,chat,0.08691706,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.42 % når nye kunder får bedre betingelser?
2,H001020,e-post,0.09307394,Ser at renta på lånet mitt har økt igjen. Hvorfor ligger jeg på 5.48 % når nye kunder får bedre betingelser?
