kunde_id,maaned,innlogginger,korttransaksjoner
K100000,2024-01,17,44
K100000,2024-02,32,56
K100000,2024-03,20,60
K100000,2024-04,16,39
K100000,2024-05,17,48
K100000,2024-06,23,48
K100000,2024-07,24,47
K100000,2024-08,18,55
K100000,2024-09,20,49
K100000,2024-10,20,55
K100000,2024-11,24,51
K100000,2024-12,16,44
K100000,2025-01,15,40
K100000,2025-02,19,47
K100000,2025-03,18,43
K100000,2025-04,13,35
K100000,2025-05,14,50
K100000,2025-06,10,53
K100000,2025-07,14,50
K100000,2025-08,11,46
K100000,2025-09,14,49
K100000,2025-10,14,43
K100000,2025-11,21,46
K100000,2025-12,12,49
K100001,2024-01,17,51
K100001,2024-02,22,42
K100001,2024-03,23,43
K100001,2024-04,13,54
K100001,2024-05,10,43
K100001,2024-06,12,41
K100001,2024-07,17,42
K100001,2024-08,11,36
K100001,2024-09,14,45
K100001,2024-10,8,41
K100001,2024-11,12,47
K100001,2024-12,7,45
K100001,2025-01,15,56
K100001,2025-02,11,45
K100001,2025-03,5,46
K100001,2025-04,18,38
K100001,2025-05,15,46
K100001,2025-06,16,48
K100001,2025-07,16,45
K100001,2025-08,16,34
K100001,2025-09,13,48
K100001,2025-10,6,38
K100001,2025-11,10,33
K100001,2025-12,15,26
K100002,2024-01,17,35
K100002,2024-02,10,43
K100002,2024-03,17,52
K100002,2024-04,19,35
K100002,2024-05,9,34
K100002,2024-06,14,41
K100002,2024-07,22,42
K100002,2024-08,19,48
K100002,2024-09,9,38
K100002,2024-10,18,35
K100002,2024-11,23,37
K100002,2024-12,20,49
K100002,2025-01,12,47
K100002,2025-02,17,40
K100002,2025-03,13,42
K100002,2025-04,17,49
K100002,2025-05,14,40
K100002,2025-06,9,52
K100002,2025-07,19,41
K100002,2025-08,13,43
K100002,2025-09,12,40
K100002,2025-10,5,29
K100002,2025-11,16,29
K100002,2025-12,14,45
K100003,2024-01,9,27
K100003,2024-02,11,20
K100003,2024-03,4,34
K100003,2024-04,8,36
K100003,2024-05,5,28
K100003,2024-06,7,27
K100003,2024-07,6,32
K100003,2024-08,6,20
K100003,2024-09,9,25
K100003,2024-10,8,34
K100003,2024-11,6,31
K100003,2024-12,4,31
K100003,2025-01,10,38
K100003,2025-02,7,31
K100003,2025-03,7,40
K100003,2025-04,10,17
K100003,2025-05,9,30
K100003,2025-06,8,28
K100003,2025-07,15,24
K100003,2025-08,8,30
K100003,2025-09,5,22
K100003,2025-10,10,27
K100003,2025-11,5,21
K100003,2025-12,5,22
K100004,2024-01,19,57
K100004,2024-02,23,51
K100004,2024-03,29,67
K100004,2024-04,17,56
K100004,2024-05,18,52
K100004,2024-06,19,59
K100004,2024-07,18,46
K100004,2024-08,15,50
K100004,2024-09,16,49
K100004,2024-10,18,45
K100004,2024-11,26,47
K100004,2024-12,20,62
K100004,2025-01,11,45
K100004,2025-02,19,51
K100004,2025-03,24,54
K100004,2025-04,20,58
K100004,2025-05,14,52
K100004,2025-06,22,52
K100004,2025-07,15,47
K100004,2025-08,16,61
K100004,2025-09,17,45
K100004,2025-10,12,37
K100004,2025-11,12,41
K100004,2025-12,15,35
K100005,2024-01,10,51
K100005,2024-02,16,61
K100005,2024-03,9,40
K100005,2024-04,15,53
K100005,2024-05,7,54
K100005,2024-06,10,47
K100005,2024-07,17,48
K100005,2024-08,18,47
K100005,2024-09,15,39
K100005,2024-10,14,49
