kunde_id;alder;fylke;kundeforhold_aar;antall_produkter;antall_produkter_naa;har_kundeprogram;laanebalanse;rente_boliglaan;innskudd;raadgiversamtaler_12mnd;avslutningsgebyr;avgang_6mnd
K114603;45,0;Vestfold;2,1;3;4;Nei;0,0;;22600,0;0;;0
K124121;48,0;Agder;20,0;3;3;Nei;1491000,0;5,23;23100,0;0;;0
K139194;54,0;Agder;6,1;3;3;JA;2006000,0;5,37;304600,0;0;;0
K117359;33,0;Vestfold;24,1;3;3;ja;0,0;;365500,0;0;;0
K133520;18,0;Rogaland;13,5;6;6;1;4517000,0;5,59;53900,0;0;;0
K126319;55,0;Rogaland;7,6;3;3;Ja;0,0;;62600,0;1;;0
K128929;55,0;Agder;2,3;4;4;Nei;0,0;;74400,0;0;;0
K139901;48,0;Rogaland;3,9;1;1;0;4183000,0;5,39;448300,0;1;;0
K138415;46,0;Agder;1,2;4;4;0;2546000,0;5,17;75700,0;0;;0
K132153;45,0;Agder;6,6;3;3;0;0,0;;415700,0;1;;0
K100751;41,0;Rogaland;1,4;2;0;nei;0,0;;25200,0;0;1303,0;1
K105518;59,0;Rogaland;7,8;6;6;1;1797000,0;5,69;31900,0;0;;0
K125907;71,0;Vestland;19,3;4;4;1;2003000,0;5,12;507500,0;0;;0
K136031;64,0;Agder;1,7;3;3;Ja;2592000,0;5,2;82100,0;1;;0
K103799;45,0;Vestfold;12,4;4;4;Nei;0,0;;216300,0;0;;0
K133628;51,0;Agder;1,3;3;3;1;974000,0;5,68;231500,0;0;;0
K133465;37,0;Telemark;2,2;4;4;1;2678000,0;5,61;159100,0;0;;0
K124702;33,0;Telemark;8,0;4;5;Nei;2607000,0;5,57;424200,0;0;;0
K118898;19,0;Agder;9,8;3;2;1;0,0;;175700,0;0;;0
K137200;35,0;Rogaland;7,4;1;1;0;0,0;;19500,0;0;;0
K105519;30,0;Oslo;11,6;3;4;1;0,0;;216600,0;0;;0
K116649;31,0;Vestland;11,8;4;4;JA;0,0;;130000,0;0;;0
K112692;30,0;Agder;3,4;6;6;1;1692000,0;5,5;83600,0;0;;0
K134724;84,0;Vestland;4,5;2;3;JA;4426000,0;5,71;886700,0;0;;0
K133030;80,0;Telemark;0,8;3;2;0;1985000,0;5,84;189100,0;0;1396,0;1
K133745;30,0;Rogaland;3,5;7;7;0;0,0;;21700,0;0;;0
K131716;59,0;Vestfold;12,8;3;3;Nei;4903000,0;5,7;36700,0;2;;0
K113894;66,0;Vestland;8,0;3;3;Nei;1633000,0;5,45;28600,0;1;;0
K130082;68,0;Rogaland;19,7;2;1;0;0,0;;32200,0;0;1228,0;1
K109779;18,0;Vestfold;4,6;2;2;Ja;7777000,0;5,4;8500,0;0;;0
K132501;;Telemark;1,3;3;3;JA;1831000,0;5,42;12300,0;0;;0
K104218;74,0;Telemark;2,6;3;3;nei;2846000,0;5,38;322600,0;1;;0
K100079;41,0;Rogaland;14,1;2;3;0;0,0;;19600,0;0;;0
K130885;60,0;Agder;34,2;4;4;nei;1813000,0;5,41;137600,0;0;;0
K121188;81,0;Telemark;16,0;6;6;Nei;0,0;;73200,0;0;;0
