kunde_id_1,kunde_id_2,relasjon
K109169,K118951,husstand
K113456,K129951,husstand
K107945,K121688,husstand
K131775,K129536,medlaantaker
K109062,K101172,husstand
K134151,K120363,medlaantaker
K118121,K104877,husstand
K108182,K133411,husstand
K118465,K117516,husstand
K137342,K125374,medlaantaker
K110526,K100307,husstand
K107641,K110073,medlaantaker
K121236,K128106,husstand
K136687,K137744,husstand
K108270,K119419,husstand
K108213,K101903,husstand
K138702,K124090,husstand
K126898,K115403,husstand
K135762,K137357,husstand
K101953,K100687,husstand
K134735,K123907,husstand
K129949,K133909,husstand
K103538,K105285,husstand
K100263,K117648,husstand
K126979,K101952,husstand
K138580,K128675,husstand
K131228,K114176,medlaantaker
K102085,K109475,husstand
K132406,K117017,husstand
K108924,K134511,husstand
K133525,K134547,husstand
K112928,K121659,husstand
K119033,K121249,husstand
K100429,K102315,husstand
K121646,K117338,husstand
K133296,K136942,medlaantaker
K116672,K123108,husstand
K123179,K138090,husstand
K126736,K105573,husstand
K105607,K104469,husstand
K123696,K136141,husstand
K104644,K101281,husstand
K111124,K126320,medlaantaker
K111326,K131187,husstand
K131784,K120331,husstand
K129801,K136399,husstand
K126668,K125667,husstand
K109582,K103671,medlaantaker
K135721,K119073,husstand
K105844,K106591,husstand
K107138,K100622,husstand
K133975,K115462,husstand
K124690,K107891,medlaantaker
K114488,K102341,husstand
K108595,K100330,husstand
K125809,K134680,medlaantaker
K139021,K116165,medlaantaker
K105458,K104333,husstand
K103379,K112020,husstand
K122009,K139201,husstand
K125343,K130284,medlaantaker
K107510,K100197,husstand
K103135,K131192,husstand
K115241,K100615,husstand
K103376,K131778,husstand
K106554,K106437,husstand
K120774,K132426,medlaantaker
K111323,K130420,husstand
K107025,K112182,husstand
K122593,K109532,husstand
K134632,K139614,husstand
K124719,K103514,husstand
K135223,K114416,husstand
K104467,K105158,husstand
K110262,K121616,husstand
K135182,K100682,husstand
K100801,K113175,husstand
K129553,K111890,medlaantaker
K136174,K131875,husstand
K131202,K123194,husstand
K130545,K130139,medlaantaker
K111162,K130849,husstand
K135280,K102342,husstand
K119647,K128410,husstand
K136349,K114255,husstand
K108183,K122920,husstand
K129923,K137506,husstand
K121538,K121254,husstand
K119795,K114980,husstand
K125050,K139330,husstand
K127616,K111446,medlaantaker
K104418,K126633,medlaantaker
K139084,K126175,husstand
K103658,K136461,medlaantaker
K106699,K131422,medlaantaker
K119657,K101371,husstand
K130827,K118584,husstand
K108803,K100498,husstand
K133255,K127345,husstand
K108542,K120506,husstand
K107822,K121517,medlaantaker
